group_number,product_tp,credit_seg,fico_grp,SA_SE,used_in_3mth,okr_type,quarter,okr,modified_okr,remark,cohort_type,n_M00,a_lmt_M00,current_pct_bad,reduced_ratio
92,CC,1]NTB,02]FICO,01]SA,N,a_lmt_91pM04,q3,0.0,0.0,filled_by_consolidated_okr,CP,27107.0,1369579000.0,0.0,0.8694525217921854
93,CC,1]NTB,02]FICO,01]SA,N,a_lmt_91pM04,q4,0.0,0.0,filled_by_consolidated_okr,CP,27107.0,1369579000.0,0.0,0.7895028646158924
94,CC,1]NTB,02]FICO,01]SA,N,a_lmt_61pM03,q2,0.0,0.0,filled_by_consolidated_okr,CP,27107.0,1369579000.0,0.0,0.9490580077486886
95,CC,1]NTB,02]FICO,01]SA,N,a_lmt_61pM03,q3,0.0,0.0,filled_by_consolidated_okr,CP,27107.0,1369579000.0,0.0,0.8694390473670873
96,CC,1]NTB,02]FICO,01]SA,N,a_lmt_61pM03,q4,0.0,0.0,filled_by_consolidated_okr,CP,27107.0,1369579000.0,0.0,0.7898200869854859
97,CC,1]NTB,02]FICO,01]SA,N,a_lmt_fpd,q2,0.0,0.0,filled_by_consolidated_okr,CP,27107.0,1369579000.0,0.0,0.9483683956222562
98,CC,1]NTB,02]FICO,01]SA,N,a_lmt_fpd,q3,0.0,0.0,filled_by_consolidated_okr,CP,27107.0,1369579000.0,0.0,0.8697388670512062
99,CC,1]NTB,02]FICO,01]SA,N,a_lmt_fpd,q4,0.0,0.0,filled_by_consolidated_okr,CP,27107.0,1369579000.0,0.0,0.7895046542236042
100,CC,1]NTB,02]FICO,01]SA,ALL,a_lmt_91pM04,q2,0.012641576488729848,0.012641576488729848,nan,CP,46008.0,2303365000.0,0.013315301743319014,0.9494021789684782
101,CC,1]NTB,02]FICO,01]SA,ALL,a_lmt_91pM04,q3,0.011577022679152598,0.011577022679152598,nan,CP,46008.0,2303365000.0,0.013315301743319014,0.8694525217921854
102,CC,1]NTB,02]FICO,01]SA,ALL,a_lmt_91pM04,q4,0.010512468869575346,0.010512468869575346,nan,CP,46008.0,2303365000.0,0.013315301743319014,0.7895028646158924
103,CC,1]NTB,02]FICO,01]SA,ALL,a_lmt_61pM03,q2,0.013879267502551518,0.013879267502551518,nan,CP,46008.0,2303365000.0,0.014624256251180339,0.9490580077486886
104,CC,1]NTB,02]FICO,01]SA,ALL,a_lmt_61pM03,q3,0.012714899423478405,0.012714899423478405,nan,CP,46008.0,2303365000.0,0.014624256251180339,0.8694390473670873
105,CC,1]NTB,02]FICO,01]SA,ALL,a_lmt_61pM03,q4,0.011550531344405292,0.011550531344405292,nan,CP,46008.0,2303365000.0,0.014624256251180339,0.7898200869854859
106,CC,1]NTB,02]FICO,01]SA,ALL,a_lmt_fpd,q2,0.04274598547494758,0.04274598547494758,nan,CP,46008.0,2303365000.0,0.04507318640337072,0.9483683956222562
107,CC,1]NTB,02]FICO,01]SA,ALL,a_lmt_fpd,q3,0.03920190207685548,0.03920190207685548,nan,CP,46008.0,2303365000.0,0.04507318640337072,0.8697388670512062
108,CC,1]NTB,02]FICO,01]SA,ALL,a_lmt_fpd,q4,0.035585490446149254,0.035585490446149254,nan,CP,46008.0,2303365000.0,0.04507318640337072,0.7895046542236042
109,CC,1]NTB,02]FICO,02]SE,Y,a_lmt_91pM04,q2,0.16751091691707454,0.16751091691707454,nan,CP,2411.0,424630000.0,0.17643831100016485,0.9494021789684782
110,CC,1]NTB,02]FICO,02]SE,Y,a_lmt_91pM04,q3,0.1534047344398472,0.1534047344398472,nan,CP,2411.0,424630000.0,0.17643831100016485,0.8694525217921854
111,CC,1]NTB,02]FICO,02]SE,Y,a_lmt_91pM04,q4,0.13929855196261987,0.13929855196261987,nan,CP,2411.0,424630000.0,0.17643831100016485,0.7895028646158924
112,CC,1]NTB,02]FICO,02]SE,Y,a_lmt_61pM03,q2,0.1720230499079041,0.1720230499079041,nan,CP,2411.0,424630000.0,0.18125662341332455,0.9490580077486886
